"productid","productname","category","price"
101,"1969 Harley Davidson Ultimate Chopper","Appliances","51.14"
102,"1952 Alpine Renault 1300","Toys","387.26"
103,"1996 Moto Guzzi 1100i","Electronics","642.20"
104,"2003 Harley-Davidson Eagle Drag Bike","Appliances","711.64"
105,"1972 Alfa Romeo GTA","Clothing","63.45"
106,"2001 Ferrari Enzo","Appliances","220.76"
107,"1968 Ford Mustang","Electronics","74.41"
108,"2001 Ferrari Enzo","Electronics","174.55"
109,"1940 Ford Pickup Truck","Clothing","474.73"
110,"1969 Dodge Charger","Clothing","804.93"
111,"1957 Chevy Pickup","Appliances","910.25"
112,"1966 Shelby Cobra 427 S/C","Sports","151.64"
113,"1969 Corvair Monza","Electronics","426.56"
114,"1948 Porsche Type 356 Roadster","Clothing","468.18"
115,"1958 Setra Bus","Appliances","541.55"
116,"1936 Harley Davidson El Knucklehead","Appliances","850.47"
117,"1980’s GM Manhattan Express","Toys","727.79"
118,"1952 Citroen-15CV","Appliances","487.65"
119,"1961 Ford Thunderbird","Electronics","498.79"
120,"1958 Chevy Corvette Limited Edition","Appliances","134.27"
